FAIL,DIMENSIOON,SKOORID,VASTAJAID,STD,KESKMINE SKOOR
www_vorumaateataja_ee.ela_241120.txt,spont,0.5 | 1.0 | 0.0 | 1.0 | 1.0 | 1.0 | 0.5 | 0.0 | 0.5 | 0.0,7,0.27,0.79
www_mesindus_ee.ela_33384.txt,form,0.0 | 0.5 | 0.0 | 0.0 | 1.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0,2,0.35,0.75
www_mesindus_ee.ela_33384.txt,spont,0.0 | 1.0 | 0.5 | 0.0 | 0.0 | 1.0 | 1.0 | 0.0 | 0.0 | 0.0,4,0.25,0.88
www_horsemarket_ee.ela_436247.txt,form,0.0 | 2.0 | 0.0 | 0.0 | 0.0 | 0.0 | 1.0 | 0.0 | 0.0 | 1.0,3,0.58,1.33
www_horsemarket_ee.ela_436247.txt,spont,1.0 | 0.0 | 0.0 | 0.0 | 2.0 | 0.5 | 0.5 | 0.0 | 0.5 | 0.5,6,0.61,0.83
www_eestisport_ee.ela_196071.txt,form,0.5 | 0.5 | 0.0 | 1.0 | 2.0 | 1.0 | 1.0 | 1.0 | 0.5 | 1.0,9,0.46,0.94
www_eestisport_ee.ela_196071.txt,spont,0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0,0,nan,nan
forte_delfi_ee.ela_88079.txt,form,0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 2.0 | 0.0 | 1.0 | 0.0,2,0.71,1.5
forte_delfi_ee.ela_88079.txt,spont,1.0 | 0.0 | 1.0 | 0.0 | 0.0 | 0.5 | 0.5 | 1.0 | 2.0 | 1.0,7,0.5,1.0
www_vm_ee.ela_81604.txt,form,3.0 | 0.5 | 2.0 | 0.0 | 0.5 | 1.0 | 2.0 | 2.0 | 3.0 | 0.0,8,1.0,1.75
www_vm_ee.ela_81604.txt,spont,0.0 | 0.0 | 0.0 | 0.0 | 1.0 | 0.0 | 0.0 | 0.0 | 0.0 | 1.0,2,0.0,1.0
et_wikipedia_org.ela_191506.txt,form,2.0 | 2.0 | 2.0 | 1.0 | 2.0 | 2.0 | 0.0 | 0.5 | 2.0 | 3.0,9,0.71,1.83
et_wikipedia_org.ela_191506.txt,spont,0.0 | 0.0 | 0.0 | 0.0 | 0.5 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0,1,nan,0.5
www_hambaarst_ee.ela_475731.txt,form,0.0 | 2.0 | 1.0 | 0.0 | 3.0 | 1.0 | 2.0 | 0.5 | 2.0 | 1.0,8,0.82,1.56
www_hambaarst_ee.ela_475731.txt,spont,1.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 1.0 | 1.0,3,0.0,1.0
arhiiv_koolielu_ee.ela_481254.txt,form,0.0 | 1.0 | 0.0 | 0.0 | 1.0 | 0.5 | 1.0 | 2.0 | 0.5 | 1.0,7,0.5,1.0
arhiiv_koolielu_ee.ela_481254.txt,spont,0.0 | 0.0 | 1.0 | 0.0 | 0.0 | 1.0 | 1.0 | 0.0 | 1.0 | 0.5,5,0.22,0.9
mesindus_ee.ela_210638.txt,form,1.0 | 1.0 | 1.0 | 0.5 | 0.5 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0,5,0.27,0.8
mesindus_ee.ela_210638.txt,spont,1.0 | 1.0 | 3.0 | 2.0 | 2.0 | 2.0 | 2.0 | 2.0 | 2.0 | 2.0,10,0.57,1.9
www_emta_ee.ela_522725.txt,form,3.0 | 3.0 | 3.0 | 3.0 | 3.0 | 2.0 | 2.0 | 3.0 | 3.0 | 3.0,10,0.42,2.8
www_emta_ee.ela_522725.txt,spont,3.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.5 | 0.0,2,1.77,1.75
www_alphagis_ee.ela_403490.txt,form,1.0 | 2.0 | 2.0 | 0.0 | 2.0 | 2.0 | 3.0 | 3.0 | 0.0 | 1.0,8,0.76,2.0
